Tip Name,Tip Image,Sub-tips,Sub-tip URLs
Last of Us 2 Gameplay Guides,https://img.game8.co/3252039/f1c76a5d04f6c72dc2b31e137bd066e1.jpeg/show,"Combat Guide and Tips, List of Skill Upgrades, How to Use Listen Mode, How to Stealth Kill | Stealth Tips, How to Upgrade Weapons","https://game8.co/games/Last-of-Us-2/archives/290684, https://game8.co/games/Last-of-Us-2/archives/290677, https://game8.co/games/Last-of-Us-2/archives/290674, https://game8.co/games/Last-of-Us-2/archives/290672, https://game8.co/games/Last-of-Us-2/archives/290500"
Last of Us 2 Controls,https://img.game8.co/3252049/0f48816d79470f9464839df5bd2ea9cc.jpeg/show,"Game Controls & Settings, How to Ride the Horse, How to Heal, How to Use Quick Turn, How to Run (Sprint), How to Turn on Aim Assist, How to Ride the Boat","https://game8.co/games/Last-of-Us-2/archives/291174, https://game8.co/games/Last-of-Us-2/archives/290686, https://game8.co/games/Last-of-Us-2/archives/290708, https://game8.co/games/Last-of-Us-2/archives/290688, https://game8.co/games/Last-of-Us-2/archives/290685, https://game8.co/games/Last-of-Us-2/archives/290683, https://game8.co/games/Last-of-Us-2/archives/290804"
Last of Us 2 Materials and Parts,https://img.game8.co/3252313/ab7a7612ae96ef357bdbd4d8f92a318f.jpeg/show,"What are Scavenged Parts?, What are Ingredients?, List of Training Manuals and Locations, Recipe List | How to Craft Every Item, List of All Workbench Locations, How to Get Infinite Ammo","https://game8.co/games/Last-of-Us-2/archives/290504, https://game8.co/games/Last-of-Us-2/archives/290539, https://game8.co/games/Last-of-Us-2/archives/290750, https://game8.co/games/Last-of-Us-2/archives/290735, https://game8.co/games/Last-of-Us-2/archives/290919, https://game8.co/games/Last-of-Us-2/archives/291288"
Last of Us 2 Exploration and Secrets Guides,https://img.game8.co/3252061/2582ac528f3b9b756876e7754f2580df.jpeg/show,"Safe Combinations and Locations, How to Find the Downtown Seattle Map, Trophy Guide | List of Trophies, How to Open the Bank Vault, Soda Can Code, How to Earn the High Score in the Archery Game, How to Win the Marksmanship Competition, How to Put a Hat on your Companion, How to Find the Engraved Ring, How to Find the Strange Artifact, How to Unlock the Hidden Trophies, Easter Eggs","https://game8.co/games/Last-of-Us-2/archives/290690, https://game8.co/games/Last-of-Us-2/archives/290747, https://game8.co/games/Last-of-Us-2/archives/290658, https://game8.co/games/Last-of-Us-2/archives/290681, https://game8.co/games/Last-of-Us-2/archives/290676, https://game8.co/games/Last-of-Us-2/archives/290842, https://game8.co/games/Last-of-Us-2/archives/290855, https://game8.co/games/Last-of-Us-2/archives/290851, https://game8.co/games/Last-of-Us-2/archives/290920, https://game8.co/games/Last-of-Us-2/archives/290925, https://game8.co/games/Last-of-Us-2/archives/291164, https://game8.co/games/Last-of-Us-2/archives/291153"
Last of Us 2 Miscellaneous Guides,https://img.game8.co/3252032/1678b6de0090d87ce246ab9f3f612ccc.jpeg/show,"Which Skills Should You Upgrade First?, Which Weapon Upgrades Should You Get First?, How to Play Guitar, What Carries Over Into New Game Plus?, How to Use Photo Mode, Difficulty Settings and Best Difficulty, How to Use Generators, Scent Trails Explained","https://game8.co/games/Last-of-Us-2/archives/290783, https://game8.co/games/Last-of-Us-2/archives/290866, https://game8.co/games/Last-of-Us-2/archives/290682, https://game8.co/games/Last-of-Us-2/archives/290556, https://game8.co/games/Last-of-Us-2/archives/290749, https://game8.co/games/Last-of-Us-2/archives/290545, https://game8.co/games/Last-of-Us-2/archives/290689, https://game8.co/games/Last-of-Us-2/archives/290499"
